tsne_comp1,tsne_comp2
-3.3091135,6.04363
2.1589658,6.4131494
-5.182044,7.37975
-1.6381737,7.263622
-1.2011397,8.91377
-13.001937,6.3970256
-11.483511,-0.7170029
-13.284203,0.15306573
-6.288144,10.112609
2.232882,3.8906558
3.7414937,3.5790799
5.5614676,4.5594697
7.5293913,4.3849735
3.3873687,0.95494086
-3.2379115,6.863711
-6.0789075,3.1965716
5.8022795,2.632258
-3.6161733,-0.57512647
9.909664,0.51502675
-9.495963,-5.143742
-8.514708,-2.5473976
-6.6071258,2.3869019
-8.024595,5.9095864
1.1188791,-5.613624
-16.298622,3.3122437
2.2964518,0.81842595
-1.4897159,8.623177
8.9358635,0.61210376
1.8899087,5.5273566
-10.929587,5.975381
2.8259797,5.7195554
0.8926295,2.111405
-11.4824505,3.4558468
2.278742,2.0379243
-8.237599,4.3649945
14.237025,4.0301313
8.22629,3.3124547
-7.4497185,-1.6953267
3.4747543,2.761233
-8.812454,3.7438343
6.903454,4.38696
3.08252,2.0863364
-2.234612,6.501998
-7.457188,5.0596704
4.486908,3.6324632
2.650592,-3.6214857
-1.6709849,7.96746
-8.346435,2.6553504
-0.43657768,9.060205
1.677894,6.326462
-2.6999624,0.34026536
-7.9104767,6.859835
-11.684578,-1.1151097
8.508288,1.2206444
1.473842,5.946912
-6.8323917,4.496216
2.734555,0.03986193
1.7359209,2.034707
9.381883,0.26655927
-2.5211504,7.185137
2.7906,2.6115587
30.004679,1.0673047
19.489344,0.21482311
29.370682,1.1364448
24.420465,2.9530292
13.204773,1.3446746
7.024893,2.0024476
22.737734,0.4039799
20.341932,2.0332
20.64919,3.5838108
17.957354,-0.9950728
-6.6904,-3.7214923
10.423872,1.5301687
25.86063,1.5719289
14.495143,1.6017373
10.5705,2.3400574
21.867895,2.8875334
28.235918,2.9916923
4.644986,-7.3131056
9.640211,1.8691797
21.701435,2.0800996
14.034746,2.2036211
27.661686,1.2487965
25.43013,2.4868956
27.902414,0.60068434
27.026234,1.0911947
28.514427,1.0346506
23.057365,2.9537446
25.14073,2.0822778
4.0617723,0.1498483
24.7726,1.2273178
28.938562,2.231586
26.887396,2.6598985
22.288431,2.1622815
-2.8210995,-1.2070606
29.363274,1.7041292
23.314627,3.5378494
25.86989,0.7278125
27.798405,3.0565686
23.377882,0.6222171
9.842817,1.4139969
